0,1,2,3,4,5,6,7,8
建（构）筑物类型,建（构）筑物类型,建（构）筑物类型,丁类、戊类建筑,丁类、戊类建筑,厂外油罐室或露天油罐,高层副厂房,办公、生活建筑,办公、生活建筑
建（构）筑物类型,建（构）筑物类型,建（构）筑物类型,耐火等级,耐火等级,厂外油罐室或露天油罐,高层副厂房,耐火等级,耐火等级
建（构）筑物类型,建（构）筑物类型,建（构）筑物类型,一级、 二级,三级,厂外油罐室或露天油罐,高层副厂房,一级、 二级,三级
丁类、 戊类建筑,耐火 等级,一级、二级,10（m）,12（m）,12（m）,13（m）,10（m）,12（m）
丁类、 戊类建筑,耐火 等级,三级,12（m）,14（m）,15（m）,15（m）,12（m）,14（m）
厂外油罐室或露天油罐,厂外油罐室或露天油罐,厂外油罐室或露天油罐,12（m）,15（m）,,15（m）,15（m）,20（m）
高层副厂房,高层副厂房,高层副厂房,13（m）,15（m）,15（m）,,13（m）,15（m）
办公、生活建筑,耐火等级,一级、二级,10（m）,12（m）,15（m）,13（m）,6（m）,7（m）
办公、生活建筑,耐火等级,三级,12（m）,14（m）,20（m）,15（m）,7（m）,8（m）
