0,1,2,3,4,5
结构类别,结构类别,室内或地下,室内或地下,露天,露天
结构类别,结构类别,岩基,软基,岩基,软基
素混凝土结构,现浇式（未配构造钢筋）,15（m）,20（m）,10（m）,15（m）
素混凝土结构,现浇式（配有构造钢筋）,20（m）,30（m）,15（m）,20（m）
素混凝土结构,装配式,30（m）,40（m）,20（m）,30（m）
钢筋混凝土结构,框架结构（现浇式）,45（m）,55（m）,30（m）,35（m）
钢筋混凝土结构,框架结构（装配式）,60（m）,75（m）,45（m）,50（m）
钢筋混凝土结构,（现浇式） 排架结构,75（m）,75（m）,45（m）,45（m）
钢筋混凝土结构,（装配式） 排架结构,100（m）,100（m）,70（m）,70（m）
钢筋混凝土结构,墙式结构（现浇式）,20（m）,30（m）,15（m）,20（m）
水闸底板,水闸底板,,,20（m）,35（m）
地下涵管、压力水管、倒虹吸管,地下涵管、压力水管、倒虹吸管,20（m）,25（m）,15（m）,20（m）
渡槽槽身、架空管道,渡槽槽身、架空管道,,,25（m）,25（m）
